dataset,id,ma_tbmt,so_qd,version,ten_thuoc,nha_thau_trung_thau,so_luong,don_gia_trung_thau,thanh_tien,repaired_so_luong,repaired_don_gia_trung_thau,repaired_thanh_tien,danh_muc_hang_hoa,khoi_luong,repaired_khoi_luong
medicine,236788,IB2400569074,KQ2400569074_2504150719,00-00,Tanganil 500mg/5ml,CÔNG TY CỔ PHẦN DƯỢC - THIẾT BỊ Y TẾ ĐÀ NẴNG,14000,156000,218400000,1400,15600,21840000,,,
medicine,236789,IB2400569074,KQ2400569074_2504150719,00-00,Aceralgin 400mg,CÔNG TY TNHH DƯỢC PHẨM SALUD,77440,80000,619520000,7744,8000,61952000,,,
medicine,236790,IB2400569074,KQ2400569074_2504150719,00-00,Aceralgin 800mg,CÔNG TY TNHH DƯỢC PHẨM SALUD,72800,120000,873600000,7280,12000,87360000,,,
medicine,236791,IB2400569074,KQ2400569074_2504150719,00-00,Aminic,CÔNG TY CỔ PHẦN DƯỢC PHẨM AMPHARCO U.S.A,5810,1050000,610050000,581,105000,61005000,,,
medicine,236792,IB2400569074,KQ2400569074_2504150719,00-00,Aminoplasmal B.Braun 10% E,CÔNG TY CỔ PHẦN DƯỢC - VẬT TƯ Y TẾ KON TUM,17010,1622250,2759447250,1701,162225,275944725,,,
medicine,236793,IB2400569074,KQ2400569074_2504150719,00-00,Aminoplasmal B.Braun 5% E,CÔNG TY CỔ PHẦN DƯỢC - VẬT TƯ Y TẾ KON TUM,9720,720000,699840000,972,72000,69984000,,,
medicine,236794,IB2400569074,KQ2400569074_2504150719,00-00,Nutriflex Peri,CÔNG TY CỔ PHẦN DƯỢC - VẬT TƯ Y TẾ KON TUM,1260,4046700,509884200,126,404670,50988420,,,
medicine,236795,IB2400569074,KQ2400569074_2504150719,00-00,Nutriflex Lipid Peri,CÔNG TY CỔ PHẦN DƯỢC - VẬT TƯ Y TẾ KON TUM,560,8400000,470400000,56,840000,47040000,,,
medicine,236796,IB2400569074,KQ2400569074_2504150719,00-00,Albunorm 20%,CÔNG TY TNHH BÌNH VIỆT ĐỨC,10540,7585000,7994590000,1054,758500,799459000,,,
medicine,236797,IB2400569074,KQ2400569074_2504150719,00-00,Drenoxol,CÔNG TY CỔ PHẦN DƯỢC NAM ĐỒNG,354908,88600,3144484880,35490.8,8860,314448488,,,
goods,213616,IB2400247821,618/QĐ-BVBNĐ,00,,CÔNG TY TNHH LAVICOM,,5565000,25042500,,556500,2504250,Thuốc nhuộm Gram,45,4.5
goods,213617,IB2400247821,618/QĐ-BVBNĐ,00,,Công ty TNHH khoa học kỹ thuật VIETLAB,,14861000,29722000,,1486100,2972200,Mac Conkey No.3,20,2
goods,213618,IB2400247821,618/QĐ-BVBNĐ,00,,CÔNG TY TNHH THIẾT BỊ KHOA HỌC VIỆT ANH,,19220000,32674000,,1922000,3267400,MUELLER HINTON AGAR 500G,17,1.7
goods,213619,IB2400247821,618/QĐ-BVBNĐ,00,,Công ty TNHH khoa học kỹ thuật VIETLAB,,12734000,12734000,,1273400,1273400,Sabouraud Dextrose Agar + Supplement Chloramphenicol,10,1
goods,213620,IB2400247821,618/QĐ-BVBNĐ,00,,CÔNG TY TNHH THIẾT BỊ KHOA HỌC VIỆT ANH,,19000000,38000000,,1900000,3800000,Sheep Blood Agar,20,2
goods,213621,IB2400247821,618/QĐ-BVBNĐ,00,,Công ty TNHH khoa học kỹ thuật VIETLAB,,13331000,39993000,,1333100,3999300,Blood Agar Base,30,3
goods,213622,IB2400247821,618/QĐ-BVBNĐ,00,,Công ty TNHH khoa học kỹ thuật VIETLAB,,13091000,2618200,,1309100,261820,MR-VP Broth,2,0.2
goods,213623,IB2400247821,618/QĐ-BVBNĐ,00,,CÔNG TY TNHH THIẾT BỊ KHOA HỌC VIỆT ANH,,212000,848000000,,21200,84800000,Đĩa thạch Blood agar base +5% máu cừu (đĩa 90 mm),40000,4000
goods,213624,IB2400247821,618/QĐ-BVBNĐ,00,,CÔNG TY TNHH THIẾT BỊ KHOA HỌC VIỆT ANH,,162000,567000000,,16200,56700000,Đĩa thạch MacConkey agar (đĩa 90 mm),35000,3500
goods,213625,IB2400247821,618/QĐ-BVBNĐ,00,,CÔNG TY TNHH THIẾT BỊ KHOA HỌC VIỆT ANH,,202000,303000000,,20200,30300000,Đĩa thạch chocolate agar (đĩa 90 mm),15000,1500
