ma_tbmt,so_qd,version,ma_phan_lo,danh_muc_hang_hoa,nha_thau_trung_thau,khoi_luong,don_gia_trung_thau,ten_phan_lo,ky_ma_hieu,nhan_hieu,hang_san_xuat
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp MC-DCP bản nhỏ,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,3,365000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"77-1-4, 77-1-5, 
77-1-6, 77-1-7, 
77-1-8, 77-1-9, 
77-1-10, 77-1-12",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp MC-DCP bản nhỏ,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,3,365000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"77-1-4, 77-1-5, 
77-1-6, 77-1-7, 
77-1-8, 77-1-9, 
77-1-10, 77-1-12",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp mini thẳng dùng cho vít 2.0mm,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,3,410000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"96-1-4, 96-1-5, 
96-1-6, 96-1-7, 
96-1-8",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp mini thẳng dùng cho vít 2.0mm,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,3,410000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"96-1-4, 96-1-5, 
96-1-6, 96-1-7, 
96-1-8",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp móc xương đòn,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,3,600000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"54-1-3, 54-1-4, 
54-1-5, 54-1-6, 
54-1-7, 54-1-8, 
54-2-3, 54-2-4, 
54-2-5, 54-2-6, 
54-2-7, 54-2-8",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp móc xương đòn,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,3,600000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"54-1-3, 54-1-4, 
54-1-5, 54-1-6, 
54-1-7, 54-1-8, 
54-2-3, 54-2-4, 
54-2-5, 54-2-6, 
54-2-7, 54-2-8",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp xương đòn chữ S,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,5,545000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"52-1-6,
52-2-6",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp xương đòn chữ S,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,5,545000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"52-1-7,
52-2-7",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp xương đòn chữ S,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,5,545000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"52-1-8,
52-2-8",Orthon Innovations - Pakistan,Orthon Innovations
IB2400610688,KQ2400610688,00-00,PP2400548937,Nẹp xương đòn chữ S,CÔNG TY TNHH MTV THIẾT BỊ Y TẾ THANH LỘC PHÁT,5,545000,Phần 3: Dụng cụ chấn thương và dụng cụ khác,"52-1-6,
52-2-6",Orthon Innovations - Pakistan,Orthon Innovations
